STATION,STATION_NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:FRM00007149,ORLY FR,20161107,0.00,37,40,33
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160101,0.00,44,48,40
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160102,0.06,48,52,44
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160103,0.06,45,48,43
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160104,0.33,45,51,43
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160105,0.00,45,49,42
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160106,0.02,46,51,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160107,0.02,47,54,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160108,0.22,42,47,38
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160109,0.00,47,53,40
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160110,0.14,43,51,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160111,0.25,45,48,39
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160112,0.03,44,47,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160113,0.00,42,45,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160114,0.00,41,47,38
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160115,0.11,38,42,36
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160116,0.00,38,43,34
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160117,0.00,38,41,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160118,0.00,31,38,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160119,0.00,32,35,28
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160120,0.00,28,34,24
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160121,0.00,31,39,24
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160122,0.00,37,-9999,30
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160123,0.01,44,46,42
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160124,0.02,47,52,43
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160125,0.00,49,57,41
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160126,0.00,50,53,46
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160127,0.01,52,54,50
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160128,0.11,48,53,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160129,0.00,45,49,39
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160130,0.01,47,49,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160131,0.37,51,57,44
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160201,0.06,54,57,53
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160202,0.00,50,55,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160203,0.08,44,47,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160204,0.02,47,53,40
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160205,0.01,50,52,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160206,0.00,51,58,44
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160207,0.15,48,56,45
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160208,0.02,49,53,44
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160209,0.24,45,55,-9999
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160210,0.34,42,48,37
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160211,0.02,42,49,38
GHCND:FR000007150,PARIS 14E PARC MONTSOURIS FR,20160212,0.01,39,43,37
